Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100nF,
C3,0603,1,10n,
"D1, D2",LED_D5.0mm,2,LED,
"D3, D4",D_SMB,2,SM6T27A,
J1,MKDS_3_3,1,Conn_01x03_Female,
"J2, J3",PinSocket_1x09_P2.54mm_Vertical,2,Conn_01x09_Female,
"J4, J5",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09_Female,
"R1, R10, R11, R12, R13, R14, R2, R7, R8, R9",0603,10,4k7,
R15,0603,1,10k,
"R16, R17",0603,2,120R,
"R3, R6",0603,2,10R,
"R4, R5",2512,2,0.1R,
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,SW_MEC_5G,
U1,RP2040-Zero_SMD,1,RP2040_Zero,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,
U3,SSD1306_0.96_Oled_wo_Holes,1,OLED_SSD1306,
