Designator,Mid X,Mid Y,Rotation,Layer
C1,45.5,12.0,0.0,top
C2,50.0,17.5,270.0,top
C3,25.5,23.0,270.0,top
D1,29.5,8.25,270.0,top
D2,29.5,16.25,270.0,top
D3,61.0,8.5,270.0,top
D4,61.0,25.5,90.0,top
J1,69.5,15.0,270.0,top
J2,3.0,26.43,90.0,top
J3,3.0,3.57,90.0,top
J4,78.0,3.57,90.0,top
J5,78.0,26.43,90.0,top
R1,35.5,13.5,90.0,top
R10,39.5,21.5,90.0,top
R11,41.5,21.5875,90.0,top
R12,43.5,21.5875,90.0,top
R13,45.5,21.5875,90.0,top
R14,47.5,21.5875,90.0,top
R15,34.0,26.5,270.0,top
R16,26.0,7.0,90.0,top
R17,26.0,14.9125,90.0,top
R2,38.0,13.5,90.0,top
R3,51.0,20.5,180.0,top
R4,60.5,17.5,270.0,top
R5,55.5,17.5,270.0,top
R6,51.0,14.5,180.0,top
R7,33.5,21.5,90.0,top
R8,35.5,21.5,90.0,top
R9,37.5,21.5,90.0,top
SW1,29.5,22.975,270.0,top
U1,12.0,15.0,90.0,top
U2,44.0,16.5,0.0,top
U3,48.5,15.5,0.0,top
